"","X4.1BB.CD137","ARG1","B7.H3","Bcl.2","Beta.2.microglobulin","CD11c","CD127","CD14","CD163","CD20","CD25","CD27","CD3","CD34","CD4","CD40","CD44","CD45","CD45RO","CD56","CD66b","CD68","CD8","CD80","CTLA4","EpCAM","ER.alpha","FAPalpha","Fibronectin","FOXP3","GAPDH","GITR","GZMB","Her2.ErbB2","Histone.H3","HLA.DR","ICOS","IDO1","Ki.67","LAG3","MART1","Ms.IgG1","Ms.IgG2a","NY.ESO.1","OX40L","PanCk","PD.1","PD.L1","PD.L2","PR","PTEN","Rb.IgG","S100B","S6","SMA","STING","Tim.3","VISTA"
"L09_ROI06_Tumor",19.25573423,99.88253181,7880.780642,859.7603863,3116.668541,425.4376681,893.220699,385.4884893,215.8290808,24.37398315,193.1324264,12.91063913,164.1098464,675.4075779,260.1584839,939.150753,3851.817777,1626.788454,276.0691453,109.563115,141.087311,526.8441729,154.438848,19.68704734,364.2870537,8761.589108,248.1008863,39.64246728,2072.162372,15.23972993,2945.379728,18.7381585,289.5548686,99.06782926,19526.73305,733.0310095,52.21764066,708.6761958,2141.785893,18.13432014,40.22713617,31.1599761,44.223971,77.64594474,523.9879216,2044.941723,20.36756358,32.26222071,31.66796709,37.92679957,86.99106215,41.2527029,644.5351438,8451.264117,15797.95453,6280.139347,224.2636483,468.7606739
"L09_ROI06_TME",24.82009621,84.50544552,3246.545161,356.4003651,3627.58544,704.3096447,557.9116181,725.5035744,253.5839049,92.52355283,161.4882848,35.69859572,867.6898424,2418.225127,734.4225926,497.8884272,13794.41037,5832.767654,977.4883624,148.244894,185.8579255,865.7303611,533.0014308,30.06790239,686.3364716,2035.495639,115.4517361,57.23036702,6452.95474,19.09931178,3381.546665,27.2750785,515.0507804,56.03666004,13430.73514,1535.197276,84.57301384,461.739376,717.9584453,26.37416757,31.50935988,28.46878549,42.99597428,62.61330985,169.7316198,375.8825641,34.45984319,49.27982804,37.20762154,16.37405621,85.56401587,46.4419586,480.7260739,5705.671644,28054.27636,7450.736122,284.3049677,1899.683316
"L09_ROI07_Tumor",24.9227061,172.1089714,6406.347045,1061.097426,4439.437322,555.3819737,1056.031571,699.2506324,386.4442439,30.02921815,165.2704736,12.57925819,192.6082021,516.7009581,249.812521,1448.818298,5489.793183,2343.913425,436.0294516,127.0610785,272.808088,988.8256437,184.1922149,28.32975793,68.09224825,7215.680416,246.9340094,55.52112145,1708.152675,21.83277843,3698.578374,19.9219021,313.5544763,88.91673449,24926.91003,803.9910492,49.05666751,1906.875681,2009.745878,15.68544864,39.29900117,45.50325068,26.71974298,73.2719428,484.5575789,2685.643163,19.19820852,49.72344137,61.36758987,65.09989724,113.5954989,46.75548453,140.0143805,9233.102325,5810.828537,3893.682912,128.4352832,372.4257299
"L09_ROI07_TME",35.02670952,113.1264653,3660.907193,405.2336329,4917.770133,1414.923167,624.8986253,1993.706225,909.3366282,85.71863084,162.8125945,35.20272314,1158.99937,1817.290292,1003.780505,907.4256232,17712.47645,8677.672412,1231.265531,210.688298,268.9739496,1899.312637,943.6592833,63.51577046,110.486261,1724.405393,137.2906202,89.71665439,3135.783143,21.77539874,3892.314808,34.90098551,621.2274841,36.30909443,14637.16656,3285.118123,102.4650691,750.17003,689.4201878,30.70180354,22.4291636,49.3592468,29.64572184,57.43072832,210.814022,355.2709109,22.52974281,81.19256643,56.29921222,13.95536524,152.3775016,38.84871946,142.5207391,5582.347256,12383.31221,6668.124961,266.7360622,873.6058642
"L09_ROI08_Tumor",39.7950491,75.95613825,4705.888876,1090.353744,3293.885049,578.1183999,1025.592752,266.2353813,71.28936863,28.25563243,178.8928353,16.9074768,304.742606,661.8142353,345.8637318,1053.402109,5511.416664,1852.312265,334.9746026,506.2807496,95.65602638,315.2109608,257.3736194,29.98973261,196.6418607,8623.233944,217.4255614,54.11412636,827.7650729,18.78183509,3406.678066,10.41735185,290.7805494,163.9744734,21832.83136,1285.376261,41.15937792,1194.361502,2953.60614,34.42698897,47.40723888,43.81153114,25.78198952,81.71947122,472.0195202,9675.871009,39.45077921,25.41221815,35.95707737,58.62788714,140.704379,50.32715757,169.2405276,7431.384337,6441.136627,6210.093279,123.4016293,309.7663963
"L09_ROI08_TME",42.93444764,106.7984354,1903.111524,424.6899008,4839.843793,1024.616549,491.0898297,582.126909,184.256994,147.7426507,129.9108109,44.94073024,2521.945379,3351.246305,1528.482386,633.7766483,12848.93998,10992.14951,1658.601851,330.7637746,200.6764108,753.4634431,1928.214132,43.33570416,1564.99673,829.7663829,167.5968233,64.16894268,2527.51482,15.29589854,3734.205527,20.96164061,735.0216934,40.84791374,19348.05974,2237.149552,139.3002135,457.5608349,673.2923904,26.8199858,27.44594597,31.50666195,22.98397347,64.16894268,168.7203415,509.4031773,37.89466575,51.82629213,37.26870558,50.895377,143.328829,78.50182558,143.9387389,4979.208207,25534.21546,4844.963826,152.8626839,1281.565174
"L09_ROI09_Tumor",34.2947369,65.19557356,9628.023848,1546.032122,4118.050859,212.6715952,888.3077169,249.6391487,83.49186858,22.40166442,156.5039886,7.78770308,134.0446375,204.903121,252.8503745,1945.666277,1366.213096,725.0543857,171.0506488,166.9260505,25.38214337,262.2821482,233.5926346,15.07545485,68.56063045,11500.74531,320.5264757,63.86877971,760.3297963,17.48868136,5220.280049,17.26754905,301.7783016,158.6864683,31850.95567,923.871561,43.75535397,2461.366052,4416.281429,19.77692004,58.61929096,41.53441643,25.92055247,125.0647428,662.2239664,2281.691244,29.74710288,23.77653052,51.0334913,73.92549257,137.3712366,52.80254977,131.7467843,12045.50956,7166.436663,4007.638535,108.681723,107.9990972
"L09_ROI09_TME",48.19279214,40.36544536,6695.066466,574.6728793,6687.330135,812.3602763,735.7250903,1847.117319,1250.555173,36.22423281,204.6487123,40.22892187,1191.212962,4448.526922,909.701525,1402.960896,10825.03858,6209.497918,839.8925135,398.4665609,82.18714128,1207.368242,1367.64682,95.11136504,467.8660019,3844.774539,244.1495088,251.9313478,5034.212696,23.66407169,7190.191658,26.03047885,594.2412463,93.88265363,28188.41465,1234.854972,105.9422286,1081.857647,2369.820256,40.95704715,33.85782564,44.68868922,19.1587965,109.7193785,487.2068297,465.9091652,51.87892639,118.8209446,83.00628222,75.77053722,217.7094595,66.39592421,150.1758395,8601.161932,35952.7786,3225.139924,246.6524395,820.2331309
"L09_ROI10_Tumor",31.0542227,40.19177399,7634.745986,1268.860935,3724.70996,169.6548299,804.9404413,185.0570325,57.15053112,23.47322588,160.7286625,10.61723889,103.2034053,209.3085356,211.3358998,1569.698717,1256.610274,474.691466,153.368658,160.2962863,13.3460134,238.1240102,157.308086,16.73776483,68.51722217,8577.7874,365.4251849,52.59616802,748.8180048,12.48126092,4883.939496,8.628308162,284.5035687,130.8370515,27357.92466,999.0485499,33.05276178,1724.508629,4088.126997,20.388942,45.00556284,40.55689171,22.66612356,104.8656518,549.64629,1585.74468,17.99646012,16.50716417,41.43125256,66.25925733,126.2538633,61.83941128,110.9861777,11089.49944,6725.093627,3648.160148,88.53143809,80.31628945
"L09_ROI10_TME",31.40368919,58.89247901,4182.943235,287.9281745,4222.5147,562.900567,566.3648304,870.7130505,532.7361265,28.81253277,113.9827176,20.75741608,733.2409367,5457.651369,680.9108429,651.788498,6556.160866,3579.851579,477.6740526,440.1022846,50.86552706,814.0455862,610.6116427,26.98182443,1022.830831,1762.352506,169.974228,157.6380703,5670.717655,14.64566671,4868.951897,18.39157762,714.8211943,52.30192899,17849.74428,901.4126211,56.63929952,802.9205125,1309.266274,12.67413465,31.40368919,44.2468123,18.98303723,73.28466302,412.3318473,265.2837206,36.698661,69.65141109,51.37249245,55.82252195,168.875803,67.67987903,90.94395731,6265.838689,49355.53066,2360.881473,143.9218401,647.4511274
"L09_ROI11_Tumor",20.89921236,32.33151662,7583.158432,1510.309412,2918.34321,180.4863781,918.0950477,232.9219469,116.9035626,14.49292114,159.2120902,6.631336587,125.92038,443.6394183,231.781717,1078.01228,1323.311722,583.3625803,168.3789378,166.4885568,11.4623103,235.0823823,142.4387094,11.76237078,62.2025373,6274.399644,274.5103292,57.22153335,738.523854,20.7941912,4736.649701,8.5817297,280.5265418,155.8064037,28023.51831,579.9118848,34.13187949,1474.962288,4328.612458,17.35849871,59.12691739,55.97628236,20.22407629,102.8157231,756.647507,1486.874689,23.20967805,13.39770039,33.59177063,64.22794554,122.4996906,50.21512117,157.1566759,9616.398244,6609.717229,3558.477233,108.0367755,71.8494817
"L09_ROI11_TME",36.67958811,52.1135254,5519.757149,550.6050277,4607.647092,315.6144229,631.8319482,1210.15227,782.6897758,28.04425907,199.7091176,28.26356901,787.788732,3524.886486,662.7546503,745.3248441,6371.639212,4421.315881,804.5111152,223.5042465,55.21127836,742.7205385,477.519989,40.59975335,179.5600165,2140.300569,131.3118289,190.5529274,4272.897877,28.48287896,4850.313545,13.43273406,369.7291516,69.76797588,21770.34985,1099.894196,66.72505041,456.9596817,2153.980027,17.62703674,36.67958811,61.90023165,30.01804856,116.5358214,502.1101164,370.4693226,29.03115381,41.44957938,54.55334853,28.26356901,139.8923304,30.59373716,161.2750499,6297.485037,17190.80184,3313.718424,195.2680912,498.9027085
"L09_ROI12_Tumor",35.01908748,46.20608958,7635.066087,1560.146855,2338.234275,294.306143,1017.740659,247.7481027,70.28956827,34.29004689,217.0529801,5.555792056,114.4342327,336.0877104,302.4010074,1358.805957,1580.786245,622.6258002,186.0059069,191.6622563,26.19518245,376.6374506,122.1520072,6.561365278,93.79484235,5472.002667,450.3459678,81.95421765,1951.490814,10.88533014,6925.93585,12.31827198,332.8950154,169.439088,48843.9344,645.2260584,42.56088665,992.8778608,5330.744768,42.00782138,44.87370506,29.61413141,31.77611384,133.9926319,771.7523091,1219.986573,38.89054439,10.35740419,45.85413896,61.76733521,123.4843918,60.40981136,167.7296136,9911.910117,7041.878443,3953.561961,77.85650677,107.2695235
"L09_ROI12_TME",89.9239775,233.8023415,8744.299802,762.6245015,8556.381746,946.9686553,1116.786628,2905.236196,1611.483792,39.31291837,331.7964195,25.47846029,1623.70423,8386.563773,1264.469468,1277.958065,16276.35521,7978.44726,1322.689479,556.9522247,208.2085941,1784.875666,905.0041325,130.5050545,516.1405734,2329.72274,485.9353399,319.114833,20184.8202,69.86401329,10945.59266,56.49070381,777.4965439,111.0215261,47727.38163,1907.31062,146.4146813,622.4353263,3623.359857,88.88639314,68.59585463,45.3078502,11.52871506,182.8454209,1256.514655,306.894395,75.05193507,71.24745909,210.2837628,54.8766837,338.2525,108.8310702,248.0979482,8721.242371,43352.8107,7500.466733,446.2765601,1315.080527
"L09_ROI13_Tumor",63.12339136,167.5731672,1088.323163,157.9010347,3227.391635,1608.119301,652.5218609,753.5933321,866.1880617,32.16331158,185.529088,19.48309953,323.9933013,2336.861269,655.1597152,618.3223109,7497.75385,2105.007756,567.2312375,1387.326266,173.0339885,3621.357493,196.7283993,28.2759473,207.8351544,4817.555015,150.403975,107.8280806,918.6674794,47.38882167,3499.322022,35.26394737,214.4529293,483.6529055,22381.40727,12564.19274,67.98259671,388.6901496,139.1583855,34.19955001,25.77692741,38.78108648,16.42874189,115.6490873,95.47181553,7203.054615,33.87560299,58.4492986,46.32442431,55.67260983,107.3652991,89.2242658,764.5612527,4771.554538,4656.321954,11530.80173,243.3304925,135.3635775
"L09_ROI13_TME",36.25918774,98.63917023,1084.970103,110.3778291,3792.994629,2152.539847,367.8484468,1077.505572,1953.063673,58.68316586,147.8422803,24.74335074,832.3610523,5891.550826,922.8469694,494.1276515,11699.45231,3756.998777,873.1070613,157.6363123,178.2574593,8606.158724,381.8862218,37.14034678,125.0941977,1813.334133,88.45013591,80.09431751,1697.395887,15.55701463,1909.005722,18.3220309,155.3878375,130.1583301,15951.01426,8395.146457,92.37990263,217.4943569,132.5789854,19.95268152,37.58599042,33.94994338,26.38412963,56.5764868,143.7504614,1206.539665,32.43070367,41.11062655,39.54074552,49.61836893,66.27936441,63.46370682,419.7355471,3362.087606,5113.700094,3254.829283,349.8505204,297.5886744
"L09_ROI14_Tumor",30.27312189,58.6176962,759.3148586,80.99899839,2282.055427,781.6200339,209.6280469,696.992321,1237.442405,23.52320536,83.46043411,12.84006679,186.1302172,6690.46144,363.6834727,362.1609351,7207.718202,1118.405343,352.4928216,101.1726211,53.21268785,6020.747917,169.788314,38.77395662,147.2040068,1494.802004,69.57996666,57.3489149,3432.48481,9.744240407,1021.59733,16.92554258,146.3158599,96.24974965,6895.598001,4157.618701,69.9098498,128.3499166,69.57996666,14.56560936,44.73722874,37.2006678,39.05308851,22.38130219,77.47178636,1153.474458,13.93121871,29.74023374,45.72687816,54.50684478,48.34056765,39.12921539,178.0100168,1799.563273,4099.635395,1353.916528,239.2667781,154.9181971
"L09_ROI14_TME",32.49474094,64.30811437,809.0752471,81.25307538,2887.594943,1044.658063,257.0540041,806.0577625,1518.216593,27.57104954,135.0811085,8.882112163,375.2307092,8537.916122,576.0556708,406.4113842,9377.758357,1993.640772,548.4683982,109.4568233,70.27008007,7124.005538,288.6078089,42.96671062,160.1538106,1613.624267,58.48404447,62.4262422,2389.65319,8.306194388,1199.109477,10.04205923,167.8840872,95.44823181,8353.411534,5263.036754,74.982872,98.31970916,119.8152317,26.63011345,37.6293318,32.28384147,33.61413042,45.31093931,129.8491795,1057.83928,11.87526229,43.89953519,42.22045097,48.79889203,73.91215163,52.38418297,209.6340701,1884.159614,4527.897993,1911.438649,297.1005682,205.310631
"L09_ROI15_Tumor",29.54744808,85.19803029,952.1036937,97.76219443,3268.480652,1475.76939,458.1804065,790.502548,1306.196499,33.46833379,144.7478358,18.26136271,274.4403371,6382.855332,617.1170828,526.221854,9958.421485,1868.724455,431.4490641,107.9651622,146.1775511,4399.168775,206.3339025,41.91665106,89.18390305,3100.185839,72.59054144,65.76690057,1219.655403,11.09112421,1906.980168,33.0134244,207.4386824,256.5688967,13343.74886,11583.76942,67.62986284,227.411371,95.7909204,26.66635527,22.09559901,34.03155494,33.33835968,66.87168052,100.1017284,3816.494832,15.85684164,25.38827651,43.36802864,42.82646984,95.11938749,50.1050201,435.8681839,4352.638043,3258.017736,5137.898302,255.3124803,203.8860567
"L09_ROI15_TME",36.86801231,139.0059425,1095.083289,142.834513,4604.152346,2525.558962,537.3134342,1559.637865,4220.254056,126.847428,201.7208103,20.92097505,871.8728246,6019.770283,1257.084683,595.0623737,13811.71215,4812.785408,1092.960755,172.5579963,275.3687298,12218.14578,503.128625,57.10817461,161.1363614,1423.95589,83.77200537,77.4764899,1790.465422,18.45403006,2257.847374,12.20657196,226.8067574,114.712942,19670.57034,7212.033583,89.72310968,194.1677937,227.4074746,20.37632485,43.84434051,31.87805539,27.49682517,50.04374123,233.3025119,998.0874971,21.24936707,55.6264057,40.08785609,39.23884256,84.93339181,64.85342073,346.717905,4586.395148,6046.105722,2949.641223,406.6454453,331.0992598
"L09_ROI16_Tumor",52.30920318,81.89183508,1453.421368,202.655841,4405.420996,1724.828261,471.6715773,1822.548285,2635.393521,189.6208615,239.2638189,24.96960346,446.2152781,3027.776027,902.397237,905.9945527,16173.99716,4364.453918,715.4002999,157.3719839,71.39613736,7851.268595,224.8745559,66.82543028,146.5165545,2670.79534,105.2955482,129.9900628,1583.580716,16.25140293,2783.370162,14.11417416,289.7955249,181.833731,18802.5981,9444.625545,102.3330528,195.9055838,127.2603349,55.56794804,49.07161901,59.84240558,15.02408344,62.21240185,218.2512628,6491.017705,32.9048588,118.3305276,57.17615979,76.36889737,136.74032,63.22811453,582.0245281,5559.122479,6778.845287,7472.005711,347.2256129,293.37168
"L09_ROI16_TME",33.91192415,64.25189608,775.7017509,440.8031212,4109.725633,899.3881644,400.9667727,775.0271449,532.8868387,566.582543,153.8101656,61.94266789,1810.815451,2834.279225,1196.171556,686.3251061,11245.49157,8946.347868,1290.616394,135.9331068,96.22649021,1645.84834,362.8688319,59.90155233,97.11731607,758.3609175,66.75139776,105.6450277,1706.216928,9.963411534,3141.268194,18.94086047,212.8468384,63.60323647,20043.40017,4005.274139,104.2958157,113.0829911,252.4410207,23.42093614,31.29133935,31.7064815,30.7205189,43.22667608,66.37085079,733.4091447,53.01711172,34.31841751,38.08929201,36.42007463,97.43732147,58.36206687,205.1580599,4357.210894,9995.455318,2970.705313,165.4427945,426.8266689
"L09_ROI17_TME/Tumor",16.24267491,293.5664049,1881.324212,76.08444875,1195.359457,504.633974,81.65262762,213.5448274,100.3176541,14.97013287,44.49052433,4.89960983,101.4868425,59.91282949,113.6502773,281.8002358,2600.982263,3357.889622,1111.723731,152.29163,2138.038575,607.7873944,84.66280321,26.31642775,126.0236493,5648.122933,12.79001643,39.45203301,335.889732,3.720732053,1319.196531,7.996990071,236.124374,36.00583413,54744.63578,441.6496027,32.42398357,84.76938668,135.9778994,12.98703436,26.06773298,37.54967955,26.00313694,21.12936553,99.93976728,458.6674301,15.36416873,15.72913637,16.16515966,28.03468248,29.96610415,58.22041318,95.39543568,1309.846253,299.0958262,805.0766277,15.22528724,562.8059402
"L09_ROI18_TME/Tumor",16.07649457,175.7513674,4230.231647,226.5548654,1029.414338,331.2795253,151.1096183,160.9424639,198.9618757,20.35634811,61.30203699,4.440729434,101.4904997,70.36101409,133.9596932,233.0231858,1002.772735,1395.637217,563.4927842,185.4399794,614.6568661,368.8523678,87.77166909,8.47649541,49.8326952,9544.411787,19.71561825,33.09882844,225.1153035,4.970510397,1780.54389,13.73547293,100.2478721,51.96291394,60598.9067,508.3400896,31.58160233,70.15021119,169.0306382,11.83547314,30.87985059,38.92919276,25.28525267,30.1725514,193.3977888,1270.387012,20.04846493,10.50686015,17.21372072,37.42306154,38.37167457,57.75167242,121.6055339,2054.687509,578.268403,611.8554065,20.11780799,295.9977774
"L09_ROI19_TME/Tumor",22.0095642,435.9357775,4998.26997,246.4244996,2255.172361,729.7297436,219.7736693,335.3618498,158.2617062,21.1195832,93.04705769,5.631483856,106.8372069,110.0387086,184.0377429,717.8866176,3234.145384,3967.851186,985.0267158,155.3335776,2114.877336,698.7778447,93.96741347,39.60263566,70.2021871,12193.45955,47.8099007,44.39577564,516.5200638,5.054363073,2861.601768,14.75302971,211.742578,60.66754426,56907.03131,529.6207056,37.56145057,139.7300541,554.7770968,17.20123683,38.3238575,37.22429054,26.61134308,34.15947543,285.9754981,843.6624987,23.89887539,26.84826634,35.87565039,56.12347746,50.57704298,57.38706823,119.151142,4338.45689,970.4528973,1869.203093,37.45210137,1164.058695
"L09_ROI20_TME/Tumor",12.43066896,363.0369579,1476.578316,51.07710174,1252.123653,730.2498781,69.07572054,214.9029782,90.08589315,19.45910088,41.79055683,3.53741575,108.654564,67.95771156,106.7102005,263.2248285,2814.695861,2868.941391,1174.642979,155.0033273,1932.509447,637.366753,81.74501592,36.68439331,105.4397358,5648.908269,7.852576873,28.86274949,443.0673988,2.545348497,1633.658577,10.94146333,88.27409995,32.32725161,60778.19819,488.0573172,32.59681109,56.93670609,144.8108858,12.14785246,19.4723579,39.34242651,24.8502904,19.00173357,92.61798463,410.0529914,16.17135907,23.31468519,15.47978435,25.82468162,29.46815356,58.14530473,123.7874562,1410.587063,303.2301062,1077.519816,14.82356169,569.3714799
"L09_ROI21_TME/Tumor",32.33277444,260.1209063,737.0904628,86.00110446,1103.4731,389.5114394,54.50891423,119.2542762,158.6072024,20.30138227,35.03113466,5.639555879,82.84764006,79.97606855,105.9696493,99.91914119,426.3120462,1312.304785,492.3021521,95.67206825,565.6537378,282.8183781,63.92175922,7.48374669,465.5291204,1570.172246,3.163653298,48.50935057,158.2828557,4.946710712,506.2201888,3.566114828,141.4898512,71.7723063,27451.01797,428.0679332,50.34674878,68.85488474,126.8551952,23.65522836,31.1780325,28.23344054,26.18377359,29.31516204,19.95326154,151.7585637,10.07172717,5.622574379,13.59538825,42.75432049,31.33426229,76.89732275,100.8718033,583.0937374,197.7189913,456.314959,12.09592187,167.245691
